schools,districts,countys,sat_pct_pass_gr12,act_pct_pass_gr12,pct_poverty,pct_asian,pct_black,pct_hispanic,pct_white,pct_mixed,pct_other_race,act_tst_tkrs_gr12,enroll_gr12,sat_tst_tkrs_gr12,school_score_class,school_pov_class
Ponderosa High,El Dorado Union High,El Dorado,78.0,79.0,18.2,2.1436227224008575,1.1254019292604502,16.934619506966776,71.70418006430869,5.519828510182208,2.572347266881029,105.0,420.0,138.0,excellent,very low
South Tahoe High,Lake Tahoe Unified,El Dorado,52.0,59.0,51.2,1.2291483757682178,0.35118525021949076,42.932396839332746,47.32221246707638,2.194907813871817,5.970149253731343,54.0,239.0,54.0,good,medium
Clovis North High,Clovis Unified,Fresno,80.0,90.0,23.5,16.44867221561633,3.1311930241775663,27.2294887039239,45.6995640110979,3.3690051525961153,4.122076892588189,124.0,576.0,244.0,excellent,very low
Clovis West High,Clovis Unified,Fresno,70.0,69.0,40.4,8.635235732009926,5.260545905707196,44.81389578163772,35.63275434243176,3.225806451612903,2.431761786600496,84.0,486.0,173.0,good,low
Buchanan High,Clovis Unified,Fresno,63.0,80.0,30.3,11.973392461197339,2.771618625277162,30.155210643015522,48.59571322985957,3.7324464153732446,2.771618625277162,125.0,667.0,299.0,good,low
Clovis East High,Clovis Unified,Fresno,40.0,56.00000000000001,51.800000000000004,25.141562853907136,2.7180067950169877,42.959607399018495,23.25405813514534,1.5100037750094375,4.416761041902604,55.0,584.0,237.0,fair,medium
Clovis High,Clovis Unified,Fresno,47.0,65.0,49.1,10.190217391304348,2.377717391304348,41.338315217391305,40.52309782608695,2.309782608695652,3.260869565217391,88.0,733.0,243.0,fair,low
Design Science Middle College High,Fresno Unified,Fresno,53.0,40.0,73.2,18.65671641791045,2.9850746268656714,55.59701492537313,18.28358208955224,3.3582089552238807,1.1194029850746268,58.0,63.0,60.0,good,medium
Bullard High,Fresno Unified,Fresno,34.0,50.0,58.9,5.706625813864419,10.379165070854079,53.54270394484871,26.1585599387208,2.1830716200689393,2.029873611643049,24.0,518.0,143.0,fair,medium
Sunnyside High,Fresno Unified,Fresno,16.0,22.0,90.6,19.430652101952997,5.792783846408474,69.67891426679907,3.243958953988745,0.9268454154253558,0.9268454154253558,120.0,620.0,193.0,poor,high
Fresno High,Fresno Unified,Fresno,9.0,13.0,89.5,5.516265912305516,8.43941537010844,74.02168788307402,9.005186232909006,1.603017444601603,1.4144271570014144,110.0,442.0,91.0,poor,high
McLane High,Fresno Unified,Fresno,16.0,12.0,91.9,18.217054263565892,4.208194905869324,72.31450719822813,3.3776301218161686,1.052048726467331,0.8305647840531563,51.0,366.0,57.0,poor,high
Roosevelt High,Fresno Unified,Fresno,6.0,6.0,90.8,8.148148148148149,5.277777777777778,81.2962962962963,3.564814814814815,0.8796296296296297,0.8333333333333334,18.0,447.0,67.0,poor,high
Kingsburg High,Kingsburg Joint Union High,Fresno,55.00000000000001,63.0,59.20000000000001,2.4567788898999092,0.18198362147406735,59.690627843494084,35.577797998180166,1.4558689717925388,0.6369426751592357,41.0,246.0,80.0,good,medium
Orange Cove High,Kings Canyon Joint Unified,Fresno,15.0,6.0,94.5,0.0,0.14749262536873156,97.49262536873157,1.7699115044247788,0.2949852507374631,0.2949852507374631,33.0,122.0,46.0,poor,high
